student,JS1,JS2,JS3,Py1,Py2
tua75093,0,0,0,0,0
tuh12522,1,1,1,1,1
tuh36311,1,1,1,1,1
tuj19440,1,1,1,1,0
tuj13281,1,1,0,1,1
tug82721,1,1,1,1,0
tuj43839,1,1,1,1,1
tug91313,1,1,0,1,1
tug18009,1,1,0,0,0
tuh35869,1,1,0,0,0
tuj59126,1,1,1,1,0
tuh20891,1,1,1,1,1
tug94617,1,1,1,1,0
tuh30929,1,1,1,1,1
tug91461,1,1,1,1,1
tug91457,1,1,1,1,1
tuh38499,1,1,1,1,1
tuh36620,1,1,0,1,1
tug92350,1,1,1,1,1
tuf95716,1,1,0,0,0
tuh30589,1,1,1,1,1
tug99835,1,1,1,1,0
tuh10883,1,1,1,1,0
tuh09272,1,1,0,1,1
tuh32937,1,1,0,1,0
tug67203,1,1,0,1,0
tug28424,1,1,0,1,1
tuh10333,0,0,0,0,0
tug98404,1,0,0,1,0
tuh27958,1,1,1,1,1
tuh06348,1,1,0,1,0
tug91770,1,1,1,1,1
tug94302,1,1,1,1,1
tuf92218,1,1,1,1,1
tug32562,1,1,1,1,1
tug07744,1,1,1,1,1
tuh27183,1,1,1,1,1
tuh05749,1,1,1,1,1
tuh20615,1,1,0,1,1
tuh04194,1,1,1,1,1
tug64997,1,1,1,1,0
tug52798,1,1,1,1,1
tuh08317,1,1,1,1,1
tuh10647,1,1,0,1,1
tug04800,1,1,0,1,0
tue87065,0,0,0,0,0
tuh21441,1,1,0,1,1
tug89876,1,1,1,1,0
tuh15853,1,1,1,1,1
tuh09325,1,1,1,1,1
tug99575,1,1,1,1,1
tuh14203,1,1,0,1,1
tug98786,1,1,0,1,0
tuh04404,1,0,0,0,0
tuh29296,1,1,1,1,1
tuh22759,0,0,0,0,0
tug91401,1,1,1,1,1
tuh11882,1,0,0,0,0
tug97661,1,1,1,1,1
tug92837,1,1,1,1,1
tuh02122,1,1,1,1,1
tuh12181,1,1,1,1,1
tug86770,1,0,0,0,0
tug30222,1,1,1,1,1
tuh00088,1,1,1,1,0
tug90784,1,1,1,1,1
tuh08930,1,1,1,1,1
tuh20347,1,1,1,1,1
tuf08016,1,1,0,1,0
tuh04152,1,1,1,1,1
tug34045,0,0,0,1,0
tug88376,1,1,1,1,1
tug85612,1,1,1,1,1
tuh10999,1,1,1,1,1
tuh11008,1,1,1,1,1
tug97433,1,1,1,1,1
tug99864,1,1,1,1,1
tug99606,1,1,1,0,0
tug86464,1,1,1,0,0
tuh22000,1,1,1,1,1
tuh15460,1,1,0,1,1
tuh26868,1,1,1,1,0
tug16280,1,1,0,0,0
tuh06598,1,1,1,1,0
tuh05102,1,1,0,1,0
tug99938,1,1,1,1,1
tuh33001,1,1,1,1,1
tuh01825,1,1,1,1,0
tug93283,1,1,1,1,1
tuh30734,1,0,0,0,0
tug35405,1,1,1,1,1
tuj23792,1,1,1,1,0
tuh32063,1,1,1,1,1
tuh16543,1,1,1,1,1
tuh03393,1,0,0,1,0
tuh20688,1,1,1,1,1
tug98091,1,1,0,1,1
tuh00210,1,1,1,1,1
tuh17782,1,1,0,1,1
tug50565,1,1,0,0,0
tug87038,1,1,1,1,1
tuh36298,1,1,1,1,1
tuj48093,1,1,0,1,0
tuh06571,1,1,1,1,0
tuh04301,1,1,1,0,0
tuh03399,1,1,1,1,1
tuh06087,0,0,0,0,0
tug99310,1,1,1,1,1
tug70467,1,1,1,1,1
tuh04856,1,1,1,1,1
tug93929,1,1,1,1,1
tuh06631,1,1,1,1,0
tuj50038,1,1,1,1,1
tuj36396,1,1,1,1,1
tuh15946,1,1,1,0,0
tug98727,1,1,0,1,0
tuh28659,1,1,1,1,1
tug94743,1,1,0,1,1
tug58209,1,1,0,1,1
tug69940,1,1,0,1,0
tuj50971,1,1,0,1,1
tuh32003,1,1,1,1,1
tug93975,1,1,1,1,0
tuh02968,1,1,1,1,1
tug92478,1,1,0,1,1
tug08527,1,1,0,0,0
tuf91042,1,1,0,1,0
tuf53905,1,1,0,1,0
tug94534,1,1,1,1,1
tuh01513,1,1,1,1,0
tuh34431,1,1,1,1,0
tuh00929,1,1,1,1,0
tuh42675,1,1,0,1,0
tug86890,0,0,0,0,0
tuj42947,1,1,1,1,1
tuh36542,1,1,1,1,0
tug98282,1,1,0,0,0
tuh16951,1,1,1,0,0
tuh00005,1,1,1,1,1
tuh14598,1,1,1,1,1
tug92057,1,1,1,1,1
tug99893,1,1,1,0,0
tuj42949,1,1,0,1,0
tuh26346,1,1,0,0,0
tug26499,0,0,0,1,0
tuh24049,1,1,1,1,1
tuh18075,1,1,1,1,1
tuh01169,1,1,0,1,0
tug99399,1,1,1,1,1
tug64180,1,1,0,1,0
tuf68378,1,1,0,0,0
tug93985,1,1,0,0,0
tug03995,1,1,1,1,1
tuh24052,1,1,1,1,1
tuh17289,1,1,1,1,0
tuh33023,0,0,0,0,0
tug94920,1,1,0,1,0
tug98685,1,1,0,1,1
iobeid,1,0,0,0,0
tug93898,1,1,0,1,1
tuh04791,1,1,1,1,1
tuh17508,0,0,0,0,0
tuh22306,1,1,1,1,0
tuh06442,1,1,1,1,1
tuh13999,1,1,1,1,1
tug98541,1,1,1,0,0
tuh02382,1,1,1,1,1
tuf94703,0,0,0,0,0
tuh33651,1,1,0,1,1
tug39688,1,1,1,1,1
tuh01167,1,1,0,0,0
tug99242,1,1,1,1,1
tug93523,1,1,1,1,1
tuh22429,1,1,0,1,1
tug97967,1,1,1,1,1
tuh16157,1,1,0,1,1
tug95921,1,1,1,1,0
tuh01330,0,0,0,0,0
tuh03105,1,1,1,1,1
tuh04800,1,1,1,1,1
tuh13667,1,1,1,0,0
tuh00062,1,1,0,1,0
tuh23540,1,1,1,1,1
tuh30299,1,1,1,1,1
tuh17522,0,0,0,0,0
tuh30530,1,1,0,1,1
tuh23110,1,1,1,1,0
tuh09185,1,1,1,1,1
tuh30159,1,1,1,1,1
tug95863,1,1,1,1,1
tuh19163,1,1,1,0,0
tuh04963,1,1,0,1,0
tug94514,1,1,0,1,1
tuh19047,1,1,0,1,0
tuh21639,1,1,0,0,0
tug95978,1,1,1,1,1
tug94736,1,1,0,1,0
tug96705,1,1,1,1,1
tuh25277,1,1,1,1,1
